,任务号码,任务gps 纬度,任务gps经度,任务标价,任务执行情况,x,y,label,dis,around,xinyu,renwu,ingai,change,α
0,A0001,22.566142254795,113.980836777953,66.0,0,45.30031912422828,-46.22041442121183,3,10.897652826309335,0,0.0,3,69.70360753175737,3.7036075317573705,0.0
1,A0002,22.6862052598878,113.940525211308,65.5,0,41.18091040793285,-32.89342085591113,3,15.134799961089707,38,311.83,3,69.29105359680935,3.7910535968093484,829.6666666666666
2,A0003,22.5765118283363,113.95719800411,65.5,1,42.88469058096302,-45.06939175812747,3,12.497077673137877,179,38052.1803,2,66.8217603691973,1.3217603691973068,5862.25
3,A0004,22.5648408102711,114.24457109293,75.0,0,72.25113067342812,-46.364874763364746,3,18.860734761325173,0,0.0,2,70.92358025042866,-4.076419749571343,0.0
4,A0005,22.5588877510826,113.950722665736,65.5,0,42.2229806163334,-47.02566433328817,3,13.949324779411329,5,20.301000000000002,2,70.42084463191173,4.920844631911734,163.75
5,A0006,22.5589990603263,114.241317401629,75.0,0,71.9186384033187,-47.013309007237524,3,18.770609483330784,1,0.3636,2,70.89618997763313,-4.103810022366872,37.5
6,A0007,22.5490037129604,113.97225969676,65.5,1,44.42383363960416,-48.122792564852574,3,12.72257726629681,21,140.4164,3,69.43325133583635,3.9332513358363457,458.5
7,A0008,22.5627735077314,113.956573538052,65.5,0,42.82087686355016,-46.59434534527147,3,13.217418778796219,21,337.6151,2,70.04082833986128,4.540828339861278,687.75
8,A0009,22.5000119233833,113.895660567915,66.0,0,36.59622619870437,-53.56088120791044,3,22.243725036915187,5,19.9231,2,71.10098545302705,5.10098545302705,165.0
9,A0010,22.5437860995949,113.923977803989,66.0,1,39.48994328323014,-48.701947648422944,3,17.153142755879664,48,822.1174,3,69.25655770598215,3.2565577059821464,1056.0
10,A0011,22.5248636906434,113.930859554515,65.5,0,40.19318420040384,-50.80233504203946,3,17.711199198506055,33,410.37979999999993,4,69.03531833427749,3.535318334277491,540.375
11,A0012,22.519087000679,113.935843611296,65.5,0,40.70250121918808,-51.44354762808779,3,17.70356186789005,55,577.5104999999999,7,66.89369207316699,1.3936920731669886,514.6428571428571
12,A0013,22.5479724310799,113.977909038602,65.5,1,45.001135639056514,-48.23726485358813,3,12.348375499689789,17,121.89890000000001,3,69.48256679097456,3.982566790974559,371.1666666666667
13,A0014,22.5061687130557,113.931428439716,66.0,1,40.25131815178881,-52.87747755427412,3,18.978159825217148,16,60.1091,2,70.6132091056678,4.613209105667806,528.0
14,A0015,22.4996256609397,113.936514493699,66.0,1,40.7710581880319,-53.60375633915024,3,19.094555244741915,7,22.2861,4,69.66875353006883,3.6687535300688268,115.5
15,A0016,22.540321415216,113.923645598933,66.0,1,39.45599549808638,-49.086527614480985,3,17.37525213416089,48,822.1174,3,69.27477067500121,3.274770675001207,1056.0
16,A0017,22.5245541889304,113.92473190182,65.5,1,39.567003974155,-50.83668973218262,3,18.2376622257777,42,448.56389999999993,4,68.89848830251377,3.398488302513769,687.75
17,A0018,22.4981900986281,113.898481737691,66.0,0,36.88451941905329,-53.76310375573772,3,22.13643470514278,5,19.9231,2,71.09218764582171,5.09218764582171,165.0
18,A0019,22.5460394638191,113.974968421143,65.5,1,44.700636149703286,-48.451824219536874,3,12.716342556646836,23,161.74519999999998,3,69.39274008964505,3.892740089645045,502.1666666666667
19,A0020,22.497728920198,113.937337700868,66.0,1,40.855181110298446,-53.814294561478874,3,19.182926588519674,7,22.2861,3,70.24299998025862,4.242999980258617,154.0
20,A0021,22.4941624669753,113.927139030908,66.0,1,39.812986687594886,-54.21017086919852,3,20.204718502278833,0,0.0,2,71.03378691718686,5.033786917186859,0.0
21,A0022,22.5159201164617,113.93567688759,65.0,1,40.685463848904085,-51.79507177620815,3,17.941075485927346,35,266.7874,3,69.58116818984604,4.581168189846039,758.3333333333334
22,A0023,22.5157856773782,113.94205574693,65.5,0,41.33731469351599,-51.809994514476585,3,17.45729132737866,22,166.8319,5,68.66749788884505,3.1674978888450482,288.2
23,A0024,22.5422096257037,114.019649276618,66.5,0,49.26653920963919,-48.876936250346354,3,10.0515037560906,7,43.8308,2,70.06122330799943,3.561223307999427,232.75
24,A0025,22.5445896135667,113.99866008452,67.5,0,47.12166943472014,-48.612757597553184,3,11.100124731107439,0,0.0,1,70.85421022795082,3.3542102279508157,0.0
25,A0026,22.4930831267728,113.935839142226,66.0,1,40.70204452828241,-54.3299776316762,3,19.657667400864508,7,22.2861,4,69.71492872687088,3.7149287268708804,115.5
26,A0027,22.5248894876791,113.919142922515,65.5,1,38.99587037701712,-50.79947157107671,3,18.68443360137853,10,38.2251,3,70.14212355531303,4.6421235553130344,218.33333333333334
27,A0028,22.5480858154297,113.945311875335,66.5,1,41.67005600945274,-48.22467919076006,3,15.035724271992235,6,20.301000000000002,1,71.05692939030337,4.556929390303367,399.0
28,A0029,22.5647073449243,113.982009250796,66.0,0,45.42013324337648,-46.37968941685946,3,10.886668066667184,0,0.0,4,69.13570678146671,3.135706781466709,0.0
29,A0030,22.5819344788478,114.156395293242,68.0,0,63.240511934647046,-44.467477551351166,3,9.787662988183431,0,0.0,2,70.17958836503104,2.1795883650310373,0.0
30,A0031,22.5429361050784,114.131407227026,67.0,0,60.687000217277294,-48.796297039754435,3,10.608963601916969,16,223.5013,2,69.92693501535719,2.926935015357188,536.0
31,A0032,22.5239495360594,113.943441614942,65.5,0,41.47893550469845,-50.90380620086333,3,16.760960952402154,27,208.6705,5,68.51039879809697,3.010398798096972,353.7
32,A0033,22.5510130545882,113.956744570929,65.5,1,42.838354584783765,-47.899755644166675,3,13.877452684573846,110,10996.0217,1,68.88195112013506,3.3819511201350565,7205.0
33,A0034,22.5829932950536,114.147122731579,66.0,1,62.292955823188656,-44.349948952507134,3,8.887379865287011,3,19.9231,3,69.47876514895353,3.478765148953528,66.0
34,A0035,22.549270134625,114.131744697949,66.5,0,60.721486117414734,-48.09321976008178,3,10.072241492228143,44,1411.0265999999995,2,69.32292380236271,2.822923802362709,1463.0
35,A0036,22.5259613413852,113.935399270764,65.5,1,40.65709439397984,-50.680495809699494,3,17.267049480369373,39,517.4014,5,68.3118980573903,2.8118980573902945,510.9
