,dis,around,renwu,任务标价,是否成功
0,10.5840124903253,6,4,68.99088902420667,1
1,14.740356908060239,64,3,68.73870926646094,0
2,12.59403542581963,43,3,68.98271090491721,0
3,17.41446888778124,97,3,68.29798644879807,1
4,17.740582162306946,89,10,64.51572773730916,1
5,19.418065557550786,19,5,68.88828137571917,1
6,9.255024511866225,7,3,69.42891200997303,1
7,4.518026490929001,20,4,68.21347817225617,1
8,16.931494750603566,151,3,67.1783825695495,1
9,1.9076991331499695,75,4,66.8994313289183,0
10,8.67401189793206,85,3,67.82126897563043,0
11,6.4166108682554315,127,4,66.22916209119694,1
12,6.2474308059125905,115,3,67.02228932608483,0
13,27.44832750568446,45,3,70.16076285546612,0
14,11.37146958000321,9,7,67.29446050556025,1
15,24.99997425844148,28,3,70.2999978891922,0
16,18.701042059319494,116,5,66.8894854488642,1
17,25.11520838303995,160,3,67.66944708740928,1
18,11.14891826083188,41,4,68.33721129738822,0
19,12.73024667868934,76,3,68.33388022765253,0
20,19.11584814914346,126,6,66.15649954822976,1
21,16.57308578618721,223,3,65.70899303446735,1
22,14.807715976513245,170,3,66.62423271007408,1
23,27.359040400776685,92,4,68.64644131286369,1
24,10.773043273163168,78,5,66.99938954839938,0
25,31.47074422298645,9,3,71.21060102628489,1
26,30.98396369082669,1,4,70.76368502264779,1
27,6.562954418851277,21,7,66.6601622623458,1
28,18.16890503446741,2,4,69.69285021282631,1
29,36.32570306029871,3,3,71.7287076509445,1
30,5.6275250483996455,192,3,65.43145705396877,1
31,7.548298838563442,180,9,62.4269605047622,1
32,33.781989464709255,0,3,71.58012313610617,1
33,32.61157168103344,14,5,70.07014887784474,1
34,1.932595398354113,32,3,68.32847282266503,1
35,33.20192046034466,48,3,70.57255747774828,1
36,34.9511206018563,37,8,68.10099188935222,1
37,26.446526558892817,81,9,65.9566151778292,1
38,13.410192745634824,41,8,66.25463580514206,0
39,11.02741376584684,125,4,66.64724792879943,1
40,23.62912009555334,3,3,70.68758784783537,1
41,27.28898741903491,52,10,66.03869696836085,1
42,29.688473886757382,10,4,70.4774548587141,1
43,22.61001254157941,11,4,69.8770210284095,1
44,28.0433027952622,3,3,71.0495508292115,1
45,57.34845497591314,54,13,66.76257330802488,1
46,8.245961214329235,112,7,64.978168819575,1
47,9.764097232834935,45,5,67.57665597309246,0
48,6.549811588658776,22,5,67.77308455027003,1
49,2.9662693202695807,143,3,66.1932340842621,1
50,4.307812246795216,103,3,67.10324060423721,0
51,20.60617930414943,30,3,69.89970670294026,0
52,11.461071250188947,333,4,62.52280784251549,1
53,11.32787176024959,0,3,69.73888548434047,1
54,17.048042027719347,241,4,64.82093944627297,1
55,24.058298640815423,51,3,69.76278048854687,0
56,5.020966122869463,95,5,66.18771922207529,0
57,2.4859395122575467,272,4,63.00684704000511,1
58,27.17666117486818,15,6,69.03748621633919,1
59,8.629883121177485,5,3,69.41765041593656,1
60,25.119469577192476,16,5,69.4157965053298,1
61,3.142386011060479,548,3,58.10767565290695,1
62,2.2287488334623364,52,3,67.95275740434391,0
63,13.153353643380976,207,4,65.18157499875723,1
64,27.349697019316867,98,6,67.39167515558398,1
65,24.982802984831075,21,4,69.87158984475614,0
66,9.628739558582938,18,3,69.23955664380381,1
67,10.7158007394372,10,5,68.35469566063385,1
68,27.739826454359818,11,4,70.2976657692575,1
69,3.2136429076728423,20,3,68.67351871842916,1
70,5.528403236530782,13,4,68.43632906539551,1
71,4.488132497553255,180,3,65.57802686479937,1
72,2.5872025907028537,49,3,68.04215061243764,0
73,1.0469235439072135,87,4,66.58884773060039,0
74,5.021667993317231,50,3,68.22177677545201,0
75,25.373110669491275,11,5,69.53659507489829,1
76,9.743075786703919,123,3,67.14893221450973,1
77,21.690170324293625,0,4,70.02159396659208,1
78,13.127131913900465,11,3,69.66642481693984,1
79,16.670897847186875,10,3,69.97701362346932,1
80,13.573032037297931,13,3,69.66298862705843,1
81,7.9283416496378925,31,5,67.7061240152703,1
82,7.162866754649139,44,4,67.95035507388123,0
83,9.653956157538602,55,6,66.80062440491817,0
